name,categories,lat,lng,id,venue_id
Khao Hakka Restaurant,Asian Restaurant,43.65096,-79.368,5d7fca5c39e9a40008635b26,
Choclo's Restaurant,Food,43.652704,-79.370217,4e73fb0f2271ffa4e64747a2,
Archeo,Italian Restaurant,43.65066723014277,-79.35943064816142,4ac3e6cef964a520629d20e3,38103525
Morning Glory Cafe,Breakfast Spot,43.653946942635294,-79.36114884214422,4ae5b91ff964a520a6a121e3,39686393
Site Of Great Canary Restaurant,Breakfast Spot,43.65332280645853,-79.35788330902814,4f872713e4b0abaa00979185,
Udeal Hotel and Restaurant Supplies,Department Store,43.655221,-79.414002,4bf6f5b65efe2d7f94196834,
Donkey Kong: One Day Pop-Up Restaurant,,43.653942,-79.425002,4f946ff6e4b01b89907567a4,
Black Knight Restaurant,Restaurant,43.654337,-79.423711,4baf76eff964a520ea013ce3,
Perla Restaurant,Italian Restaurant,43.65571760887483,-79.4115353011533,4e960af8b803f7b4a4b37f7e,
Kalendar Restaurant & Bistro,French Restaurant,43.655672380709845,-79.41156052685736,4ad4c060f964a52050f720e3,42711552
Mochica,Peruvian Restaurant,43.6551707,-79.4146251,5875403d6431e51dcd18f625,
Bar 588,New American Restaurant,43.65542207436116,-79.41360533237457,5a0b1f76037be17a2e95b24e,
Vos Restaurante Argentino,Argentinian Restaurant,43.65418784632799,-79.42308962345123,5cc39ee5492822002ef255bb,541360756
Woodlot Restaurant & Bakery,New American Restaurant,43.655765,-79.409929,4cc3a79bbde8f04d0ddba64b,
El Rancho Restaurant & Night Club,Nightclub,43.65667340500913,-79.40710106606636,4ad4c05df964a52076f620e3,
Sneaky Dee's Restaurant & Concert Venue,Bar,43.65634906243686,-79.40764590401695,4ad4c05df964a5204cf620e3,582086466
KOS,Breakfast Spot,43.65502568322186,-79.40335800214416,4ae348cef964a520dd9221e3,
Rol San Restaurant 龍笙棧,Dim Sum Restaurant,43.65431754076345,-79.39864998374682,4ad4c060f964a5207ff720e3,
New Sky Restaurant 小沙田食家,Chinese Restaurant,43.65533674412141,-79.39889716243826,4b074bb1f964a52077fb22e3,
Swatow Restaurant 汕頭小食家,Chinese Restaurant,43.65386562507761,-79.39833353339202,4ae29812f964a520288f21e3,
Ka Chi Korean Restaurant,Korean Restaurant,43.654306552286656,-79.3992765578534,4ba2d00cf964a5203e1b38e3,
Huibin Restaurant,Chinese Restaurant,43.655938009591424,-79.4001235250686,53e15faf498edef3319c5d71,
M.Y. Chaffing Dish Restaurant,Restaurant,43.655464,-79.39907,4b774c07f964a520db8f2ee3,
Number Two Restaurant,Chinese Restaurant,43.656218,-79.399381,4e5ec0c518a870f60f30d187,
Saigon Lotus Restaurant,Vietnamese Restaurant,43.654310800343325,-79.39922450076845,58a7c100076be13f60d1dff5,
富來小廚 Sang's Great Seafood Restaurant,Chinese Restaurant,43.655145815292926,-79.39871246445931,4c255aefdb5195219a2c2c3a,
Sichuan Landscape Chinese Restaurant,Chinese Restaurant,43.65623203083605,-79.39944590351344,50529100e4b07f06391e0543,
August 8,Sushi Restaurant,43.65461641307909,-79.3985709479031,59fb6250603d2a17c4fbf9b6,
Canton Chilli,Chinese Restaurant,43.65630460596687,-79.39947123698828,4bc95b3268f976b0014d5d83,
Dumpling House,Dumpling Restaurant,43.65386003934455,-79.3985583639792,4b119787f964a520188023e3,
King's Noodle House 富豪麵家,Chinese Restaurant,43.6530891014144,-79.39821356650025,4ae74cfaf964a5202eaa21e3,
Pho Hung,Vietnamese Restaurant,43.654434,-79.398883,4ad4c060f964a52056f720e3,
North-East Chinese Restaurant 華北美食,Chinese Restaurant,43.6531846832903,-79.3966766276528,4d06c1ccc2e53704428cc567,
Tasty's Caribbean Restaurant & Catering,Caribbean Restaurant,43.656794,-79.399251,5b1c3098f96b2c002c5eb0c5,
Some Time BBQ Grill Restaurant 碳烤屋,Szechuan Restaurant,43.655874,-79.393826,5750b013498e755287c6de97,
Rong Hua Restaurant,Chinese Restaurant,43.653143938744904,-79.39713292289021,4f0f907ce4b067f66dbc8a05,
Harmony Chinese Restaurant,Chinese Restaurant,43.653427,-79.39703,57b8e03a498e48d4813ab5af,
新天地Korean Restaurant,Asian Restaurant,43.65340296156481,-79.3969789922185,4e079e1de4cdefcff6dd83d8,
BiWon Korean Restaurant 秘園,Korean Restaurant,43.65305,-79.397008,5bca8bc3ccad6b002c8dd841,
Traditional Northern Style Chinese Restaurant,Asian Restaurant,43.653118,-79.39679,52117a4c11d2ac3f5ac117a3,
Paradise Korean Restaurant,Korean Restaurant,43.65320427193235,-79.39658866686617,54371b7c498e7f408106b674,
Rol Jui Seafood Restaurant,Chinese Restaurant,43.65315284886056,-79.39687676028686,4ba573a5f964a5207c0839e3,
Sen Ming Garden Restaurant,Dim Sum Restaurant,43.653397,-79.395961,4e076d76d4c03ae0b9c9e065,
Second Floor Restaurant,Asian Restaurant,43.653394947123004,-79.39557161419238,4ef75b110e61a0846d6a40cb,
喜洋洋 Dundas Garden Restaurant,Chinese Restaurant,43.65343046297033,-79.39557711180447,4e0bd60418a83181d4251ff8,
Dundas Spring Garden Restaurant,Cantonese Restaurant,43.653419,-79.395554,53b990f2498ef8731fee87b3,
New Hong Fatt BBQ Restaurant 新鴻發美食軒,Chinese Restaurant,43.65334218256763,-79.39600679909486,4adb62a5f964a520c62621e3,
King Crab Seafood Restaurant,Chinese Restaurant,43.653459,-79.394769,5aa595454aa3f802dedab924,
Dim Sum King Seafood Restaurant,Dim Sum Restaurant,43.653503,-79.395405,4ddbe8697d8b771c0b09b885,
spring garden Restaurant,Chinese Restaurant,43.655208685959636,-79.3934440137687,51e1cf9a498e3c12c7f3ca22,
Toronto Big Bowl Restaurant,Szechuan Restaurant,43.655934,-79.393731,5c5b8685c5b11c00398a0e6a,
The Winding Road Restaurant,Chinese Restaurant,43.656013,-79.392451,5dfaabffbdacac0008c8a53a,
Zhu's Restaurant,Chinese Restaurant,43.656277,-79.392393,4b589c8ff964a520396128e3,
Hua Sang Seafood Restaurant,Chinese Restaurant,43.65598631977402,-79.39370277360942,4ad4c060f964a52082f720e3,
Bodega Restaurant,French Restaurant,43.655961,-79.393675,4ad4c05ff964a52044f720e3,
Kowloon Seafood Dim Sum Restaurant,Chinese Restaurant,43.65621662983656,-79.39241824573212,4b5c8b88f964a520b33529e3,
Wah Sing Seafood Restaurant,Chinese Restaurant,43.655935570829165,-79.39378308503211,4b287167f964a520659324e3,115982783
Hemispheres Restaurant & Bistro,American Restaurant,43.65488413420439,-79.38593077371578,4ad4c05ff964a52048f720e3,
